"","source","target","value"
"192","Nankai School","Clark University",1
"193","Nankai School","Columbia University",1
"194","Nankai School","Cornell University",1
"195","Nankai School","Williston Seminary",1
"196","Nankai School","Worcester Polytechnic Institute",1
"197","Nankai School","Worcester Polytechnic Institute Y.M.C.A",1
"198","Nankiang College of Science","Cornell University",1
"199","Nankiang College of Science","Williston Seminary",1
"200","Nanking Christian College","University of Michigan",1
"201","Nanking Christian College","Y.M.C.A. College",1
"202","Nanking Commercial School","Phillips Academy",1
"203","Nanking Commercial School","University of Wisconsin",1
"204","Nanyang College","Columbia University",4
"205","Nanyang College","Cornell University",6
"206","Nanyang College","Harvard University",2
"207","Nanyang College","Lawrence Academy",1
"208","Nanyang College","Lehigh University",1
"209","Nanyang College","Massachusetts Institute of Technology",5
"210","Nanyang College","Ohio State University",1
"211","Nanyang College","Pomona College",1
"212","Nanyang College","Stanford University",2
"213","Nanyang College","Trinity College",1
"214","Nanyang College","U.S. Military Academy",1
"215","Nanyang College","Union College",2
"216","Nanyang College","University of California",9
"217","Nanyang College","University of Chicago",2
"218","Nanyang College","University of Illinois",5
"219","Nanyang College","University of Indiana",1
"220","Nanyang College","University of Michigan",1
"221","Nanyang College","University of Pennsylvania",4
"222","Nanyang College","University of Wisconsin",5
"223","Nanyang College","Virginia Military Institute",1
"224","Nanyang College","Yale University",1
"225","Nanyang High School","Columbia University",1
"226","Nanyang High School","Lehigh University",1
"227","Nanyang High School","Massachusetts Institute of Technology",1
"228","Nanyang High School","University of Michigan",1
"229","Nanyang Middle School","Columbia University",2
"230","Nanyang Middle School","Cornell University",1
"231","Nanyang Middle School","Glasgow University",1
"232","Nanyang Middle School","Harvard University",1
"233","Nanyang Middle School","Lawrence Academy",1
"234","Nanyang Middle School","Middlebury College",1
"235","Nanyang Middle School","University of California",2
"236","Nanyang Middle School","University of Illinois",2
"237","Nanyang Middle School","University of Michigan",3
"238","Nanyang Middle School","University of Minnesota",1
"239","Nanyang Middle School","University of Wisconsin",3
"240","Nanyang Polytechnic Institute","University of Wisconsin",1
"241","North China Union College","Oberlin University",1
"242","North China Union College","Yale University",1
"243","Oahu College","Cornell University",1
"244","Oahu College","Detroit University",1
"245","Oahu College","Morgan Park Academy",1
"246","Oahu College","New York University",1
"247","Oahu College","University of Chicago",1
"248","Oahu College","University of Pennsylvania",1
"249","Oahu College","University of Wisconsin",1
"250","Peiyang Medical College","Harvard University",1
"251","Peiyang Medical College","Johns Hopkins University",1
"252","Peiyang Medical College","Tufts College",1
"253","Peiyang University","Boston University",1
"254","Peiyang University","Brown University",1
"255","Peiyang University","Columbia University",5
"256","Peiyang University","Cornell University",5
"257","Peiyang University","Glasgow University",1
"258","Peiyang University","Harvard Medical School",1
"259","Peiyang University","Harvard University",11
"260","Peiyang University","Massachusetts Agricultural College",2
"261","Peiyang University","Massachusetts Institute of Technology",1
"262","Peiyang University","University of California",4
"263","Peiyang University","University of Chicago",2
"264","Peiyang University","University of Pennsylvania",4
"265","Peiyang University","University of Wisconsin",2
"266","Peiyang University","Yale University",2
"267","Peking College of Finance","Lehigh University",1
"268","Peking College of Finance","Union College",1
"269","Peking Customs College","Cornell University",1
"270","Peking Customs College","University of Wisconsin",1
"271","Peking Customs College","Williston Seminary",1
"272","Peking Government University","Columbia University",2
"273","Peking Government University","Cornell University",1
"274","Peking Government University","Harvard University",2
"275","Peking Government University","Massachusetts Institute of Technology",1
"276","Peking Government University","New York University",1
"277","Peking Government University","Princeton University",1
"278","Peking Government University","University of California",1
"279","Peking Government University","University of Chicago",1
"280","Peking Government University","University of Illinois",1
"281","Peking Government University","University of Michigan",1
"282","Peking Government University","University of Pennsylvania",1
"283","Peking Government University","University of Washington",1
"284","Peking Government University","University of Wisconsin",1
"285","Peking Government University","Yale University",2
"286","Peking Methodist University","Amherst College",1
"287","Peking Methodist University","Boston University",1
"288","Peking Methodist University","Columbia University",2
"289","Peking Methodist University","Cornell University",1
"290","Peking Methodist University","De Pauw University",1
"291","Peking Methodist University","Indiana University",1
"292","Peking Methodist University","Ohio Wesleyan University",2
"293","Peking Methodist University","University of Illinois",1
"294","Peking Methodist University","University of Michigan",1
"295","Peking Methodist University","Yale University",1
